Writeup_name,Category,Text,Label,Text_tokenize
Members,web,if we leave the search query empty we would see all members else it filters the name,analysis,"['if', 'we', 'leave', 'the', 'search', 'query', 'empty', 'we', 'would', 'see', 'all', 'members', 'else', 'it', 'filters', 'the', 'name']"
High_Security,web,we have again a login page this time only we can register a user,overview,"['we', 'have', 'again', 'a', 'login', 'page', 'this', 'time', 'only', 'we', 'can', 'register', 'a', 'user']"
27_Forbidden_Paths,web,this website has the useful feature of reading any file we want it too given its path,overview,"['this', 'website', 'has', 'the', 'useful', 'feature', 'of', 'reading', 'any', 'file', 'we', 'want', 'it', 'too', 'given', 'its', 'path']"
27_Forbidden_Paths,web,with file paths a preceeding  means the current directory and  means the enclosing directory,analysis,"['with', 'file', 'paths', 'a', 'preceeding', 'means', 'the', 'current', 'directory', 'and', 'means', 'the', 'enclosing', 'directory']"
27_Forbidden_Paths,web,since we know that we are in usrsharenginxhtml and want to access flagtxt we can just use the path flagtxt to read the flag,attack_execution,"['since', 'we', 'know', 'that', 'we', 'are', 'in', 'usrsharenginxhtml', 'and', 'want', 'to', 'access', 'flagtxt', 'we', 'can', 'just', 'use', 'the', 'path', 'flagtxt', 'to', 'read', 'the', 'flag']"
28_Power_Cookie,web,as suggested by the challenge name the solution likely involves changing a cookie value,overview,"['as', 'suggested', 'by', 'the', 'challenge', 'name', 'the', 'solution', 'likely', 'involves', 'changing', 'a', 'cookie', 'value']"
28_Power_Cookie,web,if we go to the website we find that there are no cookies saved however if we click the continue as guest button we see that a cookie with the name isadmin is generated with the value 0,analysis,"['if', 'we', 'go', 'to', 'the', 'website', 'we', 'find', 'that', 'there', 'are', 'no', 'cookies', 'saved', 'however', 'if', 'we', 'click', 'the', 'continue', 'as', 'guest', 'button', 'we', 'see', 'that', 'a', 'cookie', 'with', 'the', 'name', 'isadmin', 'is', 'generated', 'with', 'the', 'value', '0']"
28_Power_Cookie,web,0 means false here so if we change the cookie's value to 1 and refresh the website treats us like the admin giving us the flag,attack_execution,"['0', 'means', 'false', 'here', 'so', 'if', 'we', 'change', 'the', 'cookie', ""'s"", 'value', 'to', '1', 'and', 'refresh', 'the', 'website', 'treats', 'us', 'like', 'the', 'admin', 'giving', 'us', 'the', 'flag']"
22_Web_Gauntlet_2,web,the challenge gives us a link which opens a webpage allowing us to login with a username and password that we can deduce are vulnerable to sql injection looking at the filter link we can see what we must avoid when crafting our sql injection,overview,"['the', 'challenge', 'gives', 'us', 'a', 'link', 'which', 'opens', 'a', 'webpage', 'allowing', 'us', 'to', 'login', 'with', 'a', 'username', 'and', 'password', 'that', 'we', 'can', 'deduce', 'are', 'vulnerable', 'to', 'sql', 'injection', 'looking', 'at', 'the', 'filter', 'link', 'we', 'can', 'see', 'what', 'we', 'must', 'avoid', 'when', 'crafting', 'our', 'sql', 'injection']"
22_Web_Gauntlet_2,web,using the final values of username and password for login we get the message congrats you won check out filterphp finally reloading the filterphp page gives us this source code with the flag,attack_execution,"['using', 'the', 'final', 'values', 'of', 'username', 'and', 'password', 'for', 'login', 'we', 'get', 'the', 'message', 'congrats', 'you', 'won', 'check', 'out', 'filterphp', 'finally', 'reloading', 'the', 'filterphp', 'page', 'gives', 'us', 'this', 'source', 'code', 'with', 'the', 'flag']"
05_Some_Assembly_Required_1,web,upon visiting the website it appears to just be a textbox with a form,overview,"['upon', 'visiting', 'the', 'website', 'it', 'appears', 'to', 'just', 'be', 'a', 'textbox', 'with', 'a', 'form']"
05_Some_Assembly_Required_1,web,i visited mercurypicoctfnet55336jifxzhyw8w and it gave a webassembly file at the bottom of the file there was the flag,attack_execution,"['i', 'visited', 'mercurypicoctfnet55336jifxzhyw8w', 'and', 'it', 'gave', 'a', 'webassembly', 'file', 'at', 'the', 'bottom', 'of', 'the', 'file', 'there', 'was', 'the', 'flag']"
21_Some_Assembly_Required_3,web,upon visiting the website it appears to just be a textbox with a form,overview,"['upon', 'visiting', 'the', 'website', 'it', 'appears', 'to', 'just', 'be', 'a', 'textbox', 'with', 'a', 'form']"
12_login,web,on first inspection when faced with a login screen it seems like sql injection because is not that what always happens with logins in ctfs,overview,"['on', 'first', 'inspection', 'when', 'faced', 'with', 'a', 'login', 'screen', 'it', 'seems', 'like', 'sql', 'injection', 'because', 'is', 'not', 'that', 'what', 'always', 'happens', 'with', 'logins', 'in', 'ctfs']"
12_login,web,if you are not convinced it is the real flag you can decode the username admin and input both into the login form which results in an alert announcing the flag,attack_execution,"['if', 'you', 'are', 'not', 'convinced', 'it', 'is', 'the', 'real', 'flag', 'you', 'can', 'decode', 'the', 'username', 'admin', 'and', 'input', 'both', 'into', 'the', 'login', 'form', 'which', 'results', 'in', 'an', 'alert', 'announcing', 'the', 'flag']"
02_Spookifier,web,then using the following payload we can run commands on the system and read our flag,attack_execution,"['then', 'using', 'the', 'following', 'payload', 'we', 'can', 'run', 'commands', 'on', 'the', 'system', 'and', 'read', 'our', 'flag']"
25_Web_Gauntlet,web,in this challenge we are linked to a login form we are meant to bypass with sql injection at each level the filter changes so we have to update your injection as necessary,overview,"['in', 'this', 'challenge', 'we', 'are', 'linked', 'to', 'a', 'login', 'form', 'we', 'are', 'meant', 'to', 'bypass', 'with', 'sql', 'injection', 'at', 'each', 'level', 'the', 'filter', 'changes', 'so', 'we', 'have', 'to', 'update', 'your', 'injection', 'as', 'necessary']"
Homework,web,when following the link we get an err_unsafe_port,overview,"['when', 'following', 'the', 'link', 'we', 'get', 'an', 'err_unsafe_port']"
Notepad,web,the application is a simple notetaking site when a new note is created a file in the static folder is created and the client is redirected to the file,overview,"['the', 'application', 'is', 'a', 'simple', 'notetaking', 'site', 'when', 'a', 'new', 'note', 'is', 'created', 'a', 'file', 'in', 'the', 'static', 'folder', 'is', 'created', 'and', 'the', 'client', 'is', 'redirected', 'to', 'the', 'file']"
Authentication,web,we can see a login page with the goal to log in as admin,overview,"['we', 'can', 'see', 'a', 'login', 'page', 'with', 'the', 'goal', 'to', 'log', 'in', 'as', 'admin']"
Authentication,web,of course we could try various sqli techniques but here already the first sqli textbook exploit works  or 11 as username logs us in as admin,analysis,"['of', 'course', 'we', 'could', 'try', 'various', 'sqli', 'techniques', 'but', 'here', 'already', 'the', 'first', 'sqli', 'textbook', 'exploit', 'works', 'or', '11', 'as', 'username', 'logs', 'us', 'in', 'as', 'admin']"
Authentication,web,on the webpage we do not see a flag so we open the source code of the page with ctrlyou and find the flag as a hidden field at the bottom of the page,attack_execution,"['on', 'the', 'webpage', 'we', 'do', 'not', 'see', 'a', 'flag', 'so', 'we', 'open', 'the', 'source', 'code', 'of', 'the', 'page', 'with', 'ctrlyou', 'and', 'find', 'the', 'flag', 'as', 'a', 'hidden', 'field', 'at', 'the', 'bottom', 'of', 'the', 'page']"
Note,web,after browsing the site for few minutes i realised that you can inject html code while creating new notes,overview,"['after', 'browsing', 'the', 'site', 'for', 'few', 'minutes', 'i', 'realised', 'that', 'you', 'can', 'inject', 'html', 'code', 'while', 'creating', 'new', 'notes']"
15_Local_Authority,web,when you go to the website you find the following login screen,overview,"['when', 'you', 'go', 'to', 'the', 'website', 'you', 'find', 'the', 'following', 'login', 'screen']"
03_modernblog,web,the text color is red and the content is exactly of the home page we finally reach the point load the home page inject css to leak the flagid bit by bit to get the flag,analysis,"['the', 'text', 'color', 'is', 'red', 'and', 'the', 'content', 'is', 'exactly', 'of', 'the', 'home', 'page', 'we', 'finally', 'reach', 'the', 'point', 'load', 'the', 'home', 'page', 'inject', 'css', 'to', 'leak', 'the', 'flagid', 'bit', 'by', 'bit', 'to', 'get', 'the', 'flag']"
JavaScriptKiddie,web,the image link appears broken,overview,"['the', 'image', 'link', 'appears', 'broken']"
01_Pirate_birthday_planner,web,the portion of code to check if a user is authorized in the party is done in this middleware,overview,"['the', 'portion', 'of', 'code', 'to', 'check', 'if', 'a', 'user', 'is', 'authorized', 'in', 'the', 'party', 'is', 'done', 'in', 'this', 'middleware']"
02_Cookies,web,let us search for that special cookie by trying different numbers,attack_execution,"['let', 'us', 'search', 'for', 'that', 'special', 'cookie', 'by', 'trying', 'different', 'numbers']"
29_Roboto_Sans,web,if we decode each line separately we find that the second line gives us a valid path specifically jsmyfiletxt if we navigate to the suburl we get the flag,attack_execution,"['if', 'we', 'decode', 'each', 'line', 'separately', 'we', 'find', 'that', 'the', 'second', 'line', 'gives', 'us', 'a', 'valid', 'path', 'specifically', 'jsmyfiletxt', 'if', 'we', 'navigate', 'to', 'the', 'suburl', 'we', 'get', 'the', 'flag']"
26_Some_Assembly_Required_4,web,using this i was able to write a quick nodejs script that would brute force the characters i have cleaned it up a bit and added comments for a bit of clarity,attack_execution,"['using', 'this', 'i', 'was', 'able', 'to', 'write', 'a', 'quick', 'nodejs', 'script', 'that', 'would', 'brute', 'force', 'the', 'characters', 'i', 'have', 'cleaned', 'it', 'up', 'a', 'bit', 'and', 'added', 'comments', 'for', 'a', 'bit', 'of', 'clarity']"
26_Some_Assembly_Required_4,web,not being great at reverse engineering was for me a blessing because otherwise i would have spent a lot of time and effort attempting to understand what the code was actually doing not being familiar with it gave me a different perspective which allowed me to conceptualize a much easier solution to the challenge i think this challenge was quite interesting if not a bit misplaced given that it had very little to do with web exploitation,analysis,"['not', 'being', 'great', 'at', 'reverse', 'engineering', 'was', 'for', 'me', 'a', 'blessing', 'because', 'otherwise', 'i', 'would', 'have', 'spent', 'a', 'lot', 'of', 'time', 'and', 'effort', 'attempting', 'to', 'understand', 'what', 'the', 'code', 'was', 'actually', 'doing', 'not', 'being', 'familiar', 'with', 'it', 'gave', 'me', 'a', 'different', 'perspective', 'which', 'allowed', 'me', 'to', 'conceptualize', 'a', 'much', 'easier', 'solution', 'to', 'the', 'challenge', 'i', 'think', 'this', 'challenge', 'was', 'quite', 'interesting', 'if', 'not', 'a', 'bit', 'misplaced', 'given', 'that', 'it', 'had', 'very', 'little', 'to', 'do', 'with', 'web', 'exploitation']"
30_Secrets,web,the flag is probably hidden by the css we can just look at the html source to get the flag,attack_execution,"['the', 'flag', 'is', 'probably', 'hidden', 'by', 'the', 'css', 'we', 'can', 'just', 'look', 'at', 'the', 'html', 'source', 'to', 'get', 'the', 'flag']"
Lightweight,web,in this challenge we have an ldap injection as the challenge description already gives us the hint,overview,"['in', 'this', 'challenge', 'we', 'have', 'an', 'ldap', 'injection', 'as', 'the', 'challenge', 'description', 'already', 'gives', 'us', 'the', 'hint']"
03_Insp3ct0r,web,hence combining the 3 parts gives the flag,attack_execution,"['hence', 'combining', 'the', '3', 'parts', 'gives', 'the', 'flag']"
04_Juggling_Facts,web,so providing the true keyword in type parameter makes the first switch case true when presents the secrets and our flag,attack_execution,"['so', 'providing', 'the', 'true', 'keyword', 'in', 'type', 'parameter', 'makes', 'the', 'first', 'switch', 'case', 'true', 'when', 'presents', 'the', 'secrets', 'and', 'our', 'flag']"
18_Super_Serial,web,going to robotstxt shows that adminphps is disallowed this indicates that the phps extension is enabled within the php configuration for this webserver files with the phps extension contain php code but instead of running when they are accessed they return an html representation of the literal php code,overview,"['going', 'to', 'robotstxt', 'shows', 'that', 'adminphps', 'is', 'disallowed', 'this', 'indicates', 'that', 'the', 'phps', 'extension', 'is', 'enabled', 'within', 'the', 'php', 'configuration', 'for', 'this', 'webserver', 'files', 'with', 'the', 'phps', 'extension', 'contain', 'php', 'code', 'but', 'instead', 'of', 'running', 'when', 'they', 'are', 'accessed', 'they', 'return', 'an', 'html', 'representation', 'of', 'the', 'literal', 'php', 'code']"
Obfuscation,web,when we visit the website we can see an input field to submit a secret,overview,"['when', 'we', 'visit', 'the', 'website', 'we', 'can', 'see', 'an', 'input', 'field', 'to', 'submit', 'a', 'secret']"
Obfuscation,web,as we do not know the secret we first look into the source code of the webpage and see obfuscated javascript,analysis,"['as', 'we', 'do', 'not', 'know', 'the', 'secret', 'we', 'first', 'look', 'into', 'the', 'source', 'code', 'of', 'the', 'webpage', 'and', 'see', 'obfuscated', 'javascript']"
01_Get_aHEAD,web,looking at the html of the website we can see that both red and blue make a request to the same url however with a different http request method we can make the educated guess that the flag will be acessible by using a different http request method,overview,"['looking', 'at', 'the', 'html', 'of', 'the', 'website', 'we', 'can', 'see', 'that', 'both', 'red', 'and', 'blue', 'make', 'a', 'request', 'to', 'the', 'same', 'url', 'however', 'with', 'a', 'different', 'http', 'request', 'method', 'we', 'can', 'make', 'the', 'educated', 'guess', 'that', 'the', 'flag', 'will', 'be', 'acessible', 'by', 'using', 'a', 'different', 'http', 'request', 'method']"
01_Get_aHEAD,web,as this challenge is named get ahead we can conclude that we must use the head method to get the flag,attack_execution,"['as', 'this', 'challenge', 'is', 'named', 'get', 'ahead', 'we', 'can', 'conclude', 'that', 'we', 'must', 'use', 'the', 'head', 'method', 'to', 'get', 'the', 'flag']"
17_Some_Assembly_Required_2,web,upon visiting the website it appears to just be a textbox with a form,overview,"['upon', 'visiting', 'the', 'website', 'it', 'appears', 'to', 'just', 'be', 'a', 'textbox', 'with', 'a', 'form']"
17_Some_Assembly_Required_2,web,we will take this string and xor it with 8 to get the flag,attack_execution,"['we', 'will', 'take', 'this', 'string', 'and', 'xor', 'it', 'with', '8', 'to', 'get', 'the', 'flag']"
01_simplewaf,web,the target of this challenge is reading the content of flagtxt file but by someway to bypass the check includes'flag' of waf all of the challenge code can be seen at mainjs,overview,"['the', 'target', 'of', 'this', 'challenge', 'is', 'reading', 'the', 'content', 'of', 'flagtxt', 'file', 'but', 'by', 'someway', 'to', 'bypass', 'the', 'check', ""includes'flag"", ""'"", 'of', 'waf', 'all', 'of', 'the', 'challenge', 'code', 'can', 'be', 'seen', 'at', 'mainjs']"
01_simplewaf,web,bravo think that i found the right spot i try the payload filexfileflagtxt unlucky it cannot bypass waf of this challenge,attack_execution,"['bravo', 'think', 'that', 'i', 'found', 'the', 'right', 'spot', 'i', 'try', 'the', 'payload', 'filexfileflagtxt', 'unlucky', 'it', 'can', 'not', 'bypass', 'waf', 'of', 'this', 'challenge']"
01_simplewaf,web,at the first thought i try format the string as a url httplocalhost3456wowhtml unlucky it does not works,attack_execution,"['at', 'the', 'first', 'thought', 'i', 'try', 'format', 'the', 'string', 'as', 'a', 'url', 'httplocalhost3456wowhtml', 'unlucky', 'it', 'does', 'not', 'works']"
02_friends,web,another instance challenge which again makes me so inconvenience to debug and investigate so i create a docker images for this challenge and host it locally i also upload the dockerfile at my github repo,overview,"['another', 'instance', 'challenge', 'which', 'again', 'makes', 'me', 'so', 'inconvenience', 'to', 'debug', 'and', 'investigate', 'so', 'i', 'create', 'a', 'docker', 'images', 'for', 'this', 'challenge', 'and', 'host', 'it', 'locally', 'i', 'also', 'upload', 'the', 'dockerfile', 'at', 'my', 'github', 'repo']"
Friends,web,another instance challenge which again makes me so inconvenience to debug and investigate so i create a docker images for this challenge and host it locally i also upload the dockerfile at my github repo,overview,"['another', 'instance', 'challenge', 'which', 'again', 'makes', 'me', 'so', 'inconvenience', 'to', 'debug', 'and', 'investigate', 'so', 'i', 'create', 'a', 'docker', 'images', 'for', 'this', 'challenge', 'and', 'host', 'it', 'locally', 'i', 'also', 'upload', 'the', 'dockerfile', 'at', 'my', 'github', 'repo']"
08_logon,web,no matter what credentials we use for the login it successfully logs us in but does not give us the flag this suggests that a cookie might be used to store a separate variable that might be preventing us from seeing the flag,overview,"['no', 'matter', 'what', 'credentials', 'we', 'use', 'for', 'the', 'login', 'it', 'successfully', 'logs', 'us', 'in', 'but', 'does', 'not', 'give', 'us', 'the', 'flag', 'this', 'suggests', 'that', 'a', 'cookie', 'might', 'be', 'used', 'to', 'store', 'a', 'separate', 'variable', 'that', 'might', 'be', 'preventing', 'us', 'from', 'seeing', 'the', 'flag']"
08_logon,web,sure enough we notice an admin cookie set to false changing this to true and refreshing the page gives us the flag,attack_execution,"['sure', 'enough', 'we', 'notice', 'an', 'admin', 'cookie', 'set', 'to', 'false', 'changing', 'this', 'to', 'true', 'and', 'refreshing', 'the', 'page', 'gives', 'us', 'the', 'flag']"
19_Most_Cookies,web,i analyzed the serverpy reference code the highlighted code below has great importance,overview,"['i', 'analyzed', 'the', 'serverpy', 'reference', 'code', 'the', 'highlighted', 'code', 'below', 'has', 'great', 'importance']"
24_Client-side-again,web,we visit the website and inspect the source code let us call a javascript beautifier in order to make the javascript code a bit more readable,overview,"['we', 'visit', 'the', 'website', 'and', 'inspect', 'the', 'source', 'code', 'let', 'us', 'call', 'a', 'javascript', 'beautifier', 'in', 'order', 'to', 'make', 'the', 'javascript', 'code', 'a', 'bit', 'more', 'readable']"
23_picobrowser,web,this website has a button you can press that will give you the flag however if you press it in your web browser it will give you an error saying you are not picobrowser and list some text after it that depends on your os and browser for me it says mozilla50 x11 ubuntu linux x86_64 rv700 gecko20100101 firefox700 but yours will likely be different,overview,"['this', 'website', 'has', 'a', 'button', 'you', 'can', 'press', 'that', 'will', 'give', 'you', 'the', 'flag', 'however', 'if', 'you', 'press', 'it', 'in', 'your', 'web', 'browser', 'it', 'will', 'give', 'you', 'an', 'error', 'saying', 'you', 'are', 'not', 'picobrowser', 'and', 'list', 'some', 'text', 'after', 'it', 'that', 'depends', 'on', 'your', 'os', 'and', 'browser', 'for', 'me', 'it', 'says', 'mozilla50', 'x11', 'ubuntu', 'linux', 'x86_64', 'rv700', 'gecko20100101', 'firefox700', 'but', 'yours', 'will', 'likely', 'be', 'different']"
23_picobrowser,web,that string of text is known as a useragent and it tells the server what browser you are using,analysis,"['that', 'string', 'of', 'text', 'is', 'known', 'as', 'a', 'useragent', 'and', 'it', 'tells', 'the', 'server', 'what', 'browser', 'you', 'are', 'using']"
23_picobrowser,web,to convince them that you are running picobrowser you can just change your useragent string to do this i chose to use curl because it easily allows you to control the headers,attack_execution,"['to', 'convince', 'them', 'that', 'you', 'are', 'running', 'picobrowser', 'you', 'can', 'just', 'change', 'your', 'useragent', 'string', 'to', 'do', 'this', 'i', 'chose', 'to', 'use', 'curl', 'because', 'it', 'easily', 'allows', 'you', 'to', 'control', 'the', 'headers']"
09_dont-use-client-side,web,opening the website greets us with a 'login' page requiring credentials,overview,"['opening', 'the', 'website', 'greets', 'us', 'with', 'a', ""'login"", ""'"", 'page', 'requiring', 'credentials']"
09_dont-use-client-side,web,we assemble the credentials and hence the flag accordingly,attack_execution,"['we', 'assemble', 'the', 'credentials', 'and', 'hence', 'the', 'flag', 'accordingly']"
Irish-Name-Repo3,web,there is a secure website running at https2019shell1picoctfcomproblem47247,overview,"['there', 'is', 'a', 'secure', 'website', 'running', 'at', 'https2019shell1picoctfcomproblem47247']"
